analysis_target,target_kind,spectrum_index,elapsed_time_hours,area,delta_area,delta_time_hours,absolute_rate_per_hour,relative_rate_percent_per_hour,rolling_slope,rolling_slope_se,rolling_slope_ci95_low,rolling_slope_ci95_high
candidate_5p79,fixed_region,0,0,22.25,nan,nan,nan,nan,nan,nan,nan,nan
candidate_5p79,fixed_region,1,1.01,5.48,-16.77,1.01,-16.54,-74.31,nan,nan,nan,nan
candidate_5p79,fixed_region,2,2.03,4.93,-0.5539,1.02,-0.5456,-9.95,nan,nan,nan,nan
candidate_5p79,fixed_region,3,2.97,1.21,-3.72,0.9369,-3.97,-80.59,-6.46,2.45,-17.01,4.10
candidate_5p79,fixed_region,4,3.91,5.33,4.12,0.9417,4.38,362.42,-0.4439,1.11,-5.24,4.35
candidate_5p79,fixed_region,5,4.97,0.5971,-4.73,1.06,-4.46,-83.79,-0.9352,1.21,-6.14,4.27
candidate_5p79,fixed_region,6,5.69,1.87,1.27,0.7211,1.76,295.12,-0.3389,1.23,-5.63,4.95
candidate_6p10,fixed_region,0,0,1.15,nan,nan,nan,nan,nan,nan,nan,nan
candidate_6p10,fixed_region,1,1.01,1.73,0.5738,1.01,0.5658,49.11,nan,nan,nan,nan
candidate_6p10,fixed_region,2,2.03,2.32,0.5911,1.02,0.5822,33.73,nan,nan,nan,nan
candidate_6p10,fixed_region,3,2.97,0.6344,-1.68,0.9369,-1.80,-77.51,-0.08629,0.3964,-1.79,1.62
candidate_6p10,fixed_region,4,3.91,2.31,1.68,0.9417,1.78,280.90,0.008739,0.451,-1.93,1.95
candidate_6p10,fixed_region,5,4.97,0.3302,-1.98,1.06,-1.87,-80.89,-0.4488,0.5065,-2.63,1.73
candidate_6p10,fixed_region,6,5.69,1.52,1.19,0.7211,1.65,498.95,0.04209,0.5304,-2.24,2.32
P002,peak_family,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
P002,peak_family,1,1.01,4.51,nan,1.01,nan,nan,nan,nan,nan,nan
P002,peak_family,2,2.03,2.19,-2.32,1.02,-2.29,-50.68,nan,nan,nan,nan
P002,peak_family,3,2.97,nan,nan,0.9369,nan,nan,nan,nan,nan,nan
P002,peak_family,4,3.91,1.66,nan,0.9417,nan,nan,-0.8982,0.5117,-7.40,5.60
P002,peak_family,5,4.97,nan,nan,1.06,nan,nan,nan,nan,nan,nan
P002,peak_family,6,5.69,nan,nan,0.7211,nan,nan,nan,nan,nan,nan
