file,timestamp,peak_ppm,qc_pass,qc_failure_reasons,in_simple_window,snr,min_snr,snr_ok,prominence_snr,min_prominence_snr,prominence_ok,width_hz,min_width_hz,max_width_hz,width_ok,integrated_area,positive_area_ok,intensity
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,2026-06-09T09:13:16,5.7144,False,snr 3.29 < 8,True,3.29,8,False,5.02,3,True,3.19,1,10,True,2.02,True,68.50
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,5.8518,False,snr 5.35 < 8,True,5.35,8,False,7.18,3,True,2.66,1,10,True,5.67,True,95.36
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,5.7849,True,,True,25.19,8,True,27.17,3,True,2.23,1,10,True,15.56,True,448.69
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,5.7922,True,,True,49.50,8,True,51.31,3,True,1.67,1,10,True,31.84,True,1074.52
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,5.3033,False,snr 4.04 < 8,False,4.04,8,False,5.79,3,True,4.54,1,10,True,5.56,True,87.71
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,2026-06-09T10:38:47,5.7913,True,,True,51.00,8,True,52.93,3,True,1.85,1,10,True,35.61,True,1145.27
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,6.4712,False,snr 6.30 < 8,False,6.30,8,False,8.49,3,True,1.87,1,10,True,3.94,True,178.03
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,6.4016,False,snr 4.59 < 8,False,4.59,8,False,6.74,3,True,2.25,1,10,True,3.50,True,129.78
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,6.3467,False,snr 4.17 < 8,False,4.17,8,False,6.15,3,True,2.00,1,10,True,3.03,True,117.74
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,5.7940,True,,True,39.23,8,True,40.83,3,True,1.96,1,10,True,35.56,True,1108.30
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,2026-06-09T11:08:23,5.7927,True,,True,61.29,8,True,63.29,3,True,1.85,1,10,True,36.66,True,1183.76
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,2026-06-09T11:08:23,5.3587,False,snr 4.23 < 8,False,4.23,8,False,6.17,3,True,3.98,1,10,True,5.14,True,81.78
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,2026-06-09T11:24:34,5.7952,True,,True,56.90,8,True,59.07,3,True,1.68,1,10,True,36.98,True,1267.15
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,2026-06-09T11:36:54,5.7958,True,,True,53.26,8,True,55.00,3,True,1.56,1,10,True,30.53,True,1151.97
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,2026-06-09T11:36:54,5.3573,False,snr 3.51 < 8,False,3.51,8,False,5.33,3,True,2.42,1,10,True,2.01,True,76.00
