file,spectrum_index,peak_number,peak_id,peak_family_id,area_robust_z,ppm_robust_z,width_robust_z,snr_robust_z,is_statistical_outlier,is_processing_outlier,outlier_reason
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,0,1,1,P001,0.0,0.0,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,1,1,1,P002,0.0,0.0,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,1,2,2,P003,-9.500278331730598,-3.2374143244593485,1.5556875223237008,-2.9518851284525627,True,False,area_robust_z=-9.50
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2,1,1,P003,-1.7681714724447828,-0.13483071488387022,-0.6812862587118943,-0.17185190818315368,False,False,
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,3,1,1,P003,0.025353421538775678,-0.5395053306974661,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,4,4,P003,0.0,0.6745,0.44949257496748735,-1.345969713913126,False,False,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,5,1,1,P003,0.5212950293914803,0.0,0.0029982739477272145,1.1766261355283805,False,False,
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,6,1,1,P003,0.6745,1.2140382594487187,-0.6745,0.6745,False,False,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,7,1,1,P003,-2.386765031153438,1.3489390090312239,-1.1379923446471287,0.2584717390988476,False,False,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2,2,2,P004,0.0,0.0,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,1,1,P005,0.0,0.0,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,2,2,P006,0.0,0.0,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,3,3,P007,0.0,0.0,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,5,2,2,P008,0.6745,0.6745,0.6745,0.6745000000000004,False,False,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,7,2,2,P008,-0.6745,-0.6745,-0.6745,-0.6744999999999995,False,False,
