file,spectrum_index,peak_number,peak_id,peak_family_id,center_ppm,nearest_peak_distance_ppm,nearest_peak_distance_hz,resolution,overlap_fraction,deconvolution_stable,overlap_warning
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,0,1,1,P001,5.7144,nan,nan,nan,0,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,1,1,1,P002,5.8518,0.0668,4.04,1.65,0.1914,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,1,2,2,P003,5.7850,0.0668,4.04,1.65,0.1914,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2,1,1,P003,5.7922,0.4889,29.60,9.52,7.304e-05,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2,2,2,P004,5.3033,0.4889,29.60,9.52,7.304e-05,True,
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,3,1,1,P003,5.7913,nan,nan,nan,0,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,1,1,P005,6.4714,0.0696,4.22,2.05,0.1289,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,2,2,P006,6.4018,0.0551,3.34,1.57,0.2077,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,3,3,P007,6.3466,0.0551,3.34,1.57,0.2077,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,4,4,P003,5.7941,0.5525,33.45,16.90,4.567e-08,True,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,5,1,1,P003,5.7925,0.4338,26.26,9.01,0.0001217,True,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,5,2,2,P008,5.3588,0.4338,26.26,9.01,0.0001217,True,
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,6,1,1,P003,5.7954,nan,nan,nan,0,True,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,7,1,1,P003,5.7957,0.4385,26.55,13.36,1.583e-06,True,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,7,2,2,P008,5.3572,0.4385,26.55,13.36,1.583e-06,True,
