file,spectrum_index,peak_number,peak_id,peak_family_id,center_ppm,height,area,center_ppm_se,center_ppm_ci95_low,center_ppm_ci95_high,height_se,height_ci95_low,height_ci95_high,area_se,area_ci95_low,area_ci95_high,width_ppm_se,width_ppm_ci95_low,width_ppm_ci95_high,bootstrap_method,bootstrap_iterations_requested,bootstrap_iterations_succeeded,bootstrap_qc_pass,bootstrap_qc_reason
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,0,1,1,P001,5.7144,68.50,2.02,0.0008,5.7161,5.7192,2.60,47.41,57.53,0.09228,1.67,2.00,0.0019,0.0292,0.0364,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,1,1,1,P002,5.8518,95.36,5.67,0.0002,5.7897,5.7904,5.34,437.83,459.39,0.2474,18.03,19.00,0.0005,0.0320,0.0341,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,1,2,2,P003,5.7850,448.69,15.56,0.0002,5.7897,5.7904,5.56,437.27,458.15,0.2635,17.85,18.91,0.0006,0.0320,0.0342,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2,1,1,P003,5.7922,1074.52,31.84,0.0001,5.7907,5.7912,10.92,1009.08,1052.13,0.4297,35.05,36.72,0.0004,0.0281,0.0298,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2,2,2,P004,5.3033,87.71,5.56,0.0011,5.3182,5.3226,1.82,59.88,66.77,0.1557,4.83,5.44,0.0023,0.0721,0.0811,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,3,1,1,P003,5.7913,1145.27,35.61,0.0001,5.7930,5.7934,9.64,1118.79,1157.21,0.406,40.24,41.79,0.0004,0.0280,0.0294,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,1,1,P005,6.4714,178.03,3.94,0.0006,6.4687,6.4710,10.71,178.69,221.45,0.3167,4.61,5.89,0.0015,0.0177,0.0239,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,2,2,P006,6.4018,129.78,3.50,0.0141,6.4012,6.4554,3.84,43.57,58.12,0.5663,7.77,9.96,0.0401,0.1611,0.3162,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,3,3,P007,6.3466,117.74,3.03,0.0086,6.4511,6.4786,5.87,66.81,89.24,0.5135,7.73,9.69,0.0240,0.1319,0.2250,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,4,4,P003,5.7941,1108.30,35.56,0.0001,5.7906,5.7910,6.33,1032.23,1057.39,0.2279,35.74,36.63,0.0002,0.0321,0.0330,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,5,1,1,P003,5.7925,1183.76,36.66,0.0001,5.7951,5.7955,8.34,1162.23,1195.01,0.3623,39.74,41.13,0.0003,0.0286,0.0297,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,5,2,2,P008,5.3588,81.78,5.14,0.0008,5.3423,5.3456,1.86,64.78,71.79,0.1227,4.31,4.79,0.0018,0.0591,0.0659,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,6,1,1,P003,5.7954,1267.15,36.98,0.0001,5.7930,5.7936,15.54,1215.53,1274.28,0.6326,43.40,45.94,0.0006,0.0270,0.0292,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,7,1,1,P003,5.7957,1151.97,30.53,0.0001,5.7939,5.7941,5.14,1099.25,1119.36,0.2075,30.77,31.58,0.0002,0.0259,0.0265,fit_residual,500,500,True,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,7,2,2,P008,5.3572,76.00,2.01,0.0008,5.3491,5.3525,2.78,47.48,58.30,0.09065,1.43,1.78,0.0017,0.0256,0.0319,fit_residual,500,500,True,
