"OriginalPath","NewPath","RelatedWorkflow","FileType","Checksum","Notes"
"NMR\06-08-26\CEC-PhSi2-flow(sequence-1115)-06-08-26.dx","results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1115)-06-08-26.dx","unknown; source folder 06-08-26","dx","6C7A64ECF2D90EDADC74DDDA3B44E25AD3D502491AD38A09C82DBF00A51286E2","raw NMR DX file; provenance from existing NMR folder"
"NMR\06-08-26\CEC-PhSi2-flow(sequence-1215)-06-08-26.dx","results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1215)-06-08-26.dx","unknown; source folder 06-08-26","dx","D3D98B03BAAA69120EBE3A8EE4E45A39523FA4D1CD27C0FC69A03588EB461A9F","raw NMR DX file; provenance from existing NMR folder"
"NMR\06-08-26\CEC-PhSi2-flow(sequence-1315)-06-08-26.dx","results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1315)-06-08-26.dx","unknown; source folder 06-08-26","dx","23C84E3CD8C16078F8DBE2BB0184BB689B9EDB17F0FCDCC6E426D7E3C231BD06","raw NMR DX file; provenance from existing NMR folder"
"NMR\06-08-26\CEC-PhSi2-flow(sequence-1415)-06-08-26.dx","results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1415)-06-08-26.dx","unknown; source folder 06-08-26","dx","8496C91C9AD82068612919D6F0F9DB836EAAB47106F746B17377E279B6A72430","raw NMR DX file; provenance from existing NMR folder"
"NMR\06-08-26\CEC-PhSi2-flow(sequence-1515)-06-08-26.dx","results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1515)-06-08-26.dx","unknown; source folder 06-08-26","dx","3BC487D75E770F16E24D88027A3AA7626F6DA2E4986D1A31F5FF801754254F8C","raw NMR DX file; provenance from existing NMR folder"
"NMR\06-08-26\CEC-PhSi2-flow(sequence-1615)-06-08-26.dx","results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1615)-06-08-26.dx","unknown; source folder 06-08-26","dx","B55DC162E86A1559D5BC16A0116FEBFAADB34A9301CC4BC2F7FED3996157FA7B","raw NMR DX file; provenance from existing NMR folder"
"NMR\06-08-26\CEC-PhSi2-flow(sequence-1700)-06-08-26.dx","results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1700)-06-08-26.dx","unknown; source folder 06-08-26","dx","B6B9AD095290FD05B6D4EBF4F76DD2F95B98C61194DBC44B01ED554218B98A0B","raw NMR DX file; provenance from existing NMR folder"
"runs\nmr_analysis\20260630_184935\manifest.json","results\processed\nmr_analysis\20260630_184935\manifest.json","NMR DX analysis; see manifest if present","json","F08BE8D946CDB1F0456CCBE117F1EACE0C818FC416ADD1291FD07FFBB6456CCB","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_184935\results.csv","results\processed\nmr_analysis\20260630_184935\results.csv","NMR DX analysis; see manifest if present","csv","87D93C93F42A11DA5795BCA427DF269A84292B56E9842691610EDCA76F177D3A","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1115)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1115)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","AF7DA97E39D22610FBFFA7B8AE9F7F3A8AA9D5F6D6A78FDF8BA65A863C0BB856","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1215)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1215)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","919BC6A85711C5C5D627B792FEC9790153C2353C2720699D942262ABB9061028","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1315)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1315)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","3171E01A385143976A76E255CC05364555434C9AB0E8CE4B556849F15F7F3325","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1415)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1415)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","AC7AF07F72B827E21F7864D887AC26DC18662647F5B29C0C2EC58B13B39FD1E3","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1515)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1515)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","F7F113DBF4B6ECE14727E0C0DFCE36A2D9D2C109CE4F11FB8DC7835D54F36919","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1615)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1615)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","8A1F771F60A99381204D7F4119B375B8C7E10D6B31B48624A778E7E9A2F5112B","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1700)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_184935\plots\CEC-PhSi2-flow(sequence-1700)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","2EF186B49011107EC658E078EA362BE746D28B6D2930082A5CC7F2ADA5042CD1","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\manifest.json","results\processed\nmr_analysis\20260630_193925\manifest.json","NMR DX analysis; see manifest if present","json","DF18877753924DADC8FBEFFDBB15D3F4D1F6DBDDD4CC3C8F3F626220D8C99686","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\results.csv","results\processed\nmr_analysis\20260630_193925\results.csv","NMR DX analysis; see manifest if present","csv","1C24C1E4A641BFF30584B701FE0F80EE343D11DF466C5EA3CA5323EF2B70380D","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1115)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1115)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","AF7DA97E39D22610FBFFA7B8AE9F7F3A8AA9D5F6D6A78FDF8BA65A863C0BB856","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1215)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1215)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","919BC6A85711C5C5D627B792FEC9790153C2353C2720699D942262ABB9061028","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1315)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1315)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","3171E01A385143976A76E255CC05364555434C9AB0E8CE4B556849F15F7F3325","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1415)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1415)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","AC7AF07F72B827E21F7864D887AC26DC18662647F5B29C0C2EC58B13B39FD1E3","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1515)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1515)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","F7F113DBF4B6ECE14727E0C0DFCE36A2D9D2C109CE4F11FB8DC7835D54F36919","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1615)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1615)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","8A1F771F60A99381204D7F4119B375B8C7E10D6B31B48624A778E7E9A2F5112B","local ignored/untracked processed output"
"runs\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1700)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\20260630_193925\plots\CEC-PhSi2-flow(sequence-1700)-06-08-26_target_6p100ppm.png","NMR DX analysis; see manifest if present","png","2EF186B49011107EC658E078EA362BE746D28B6D2930082A5CC7F2ADA5042CD1","local ignored/untracked processed output"
"runs\nmr_analysis\scipy_missing_smoke\manifest.json","results\processed\nmr_analysis\scipy_missing_smoke\manifest.json","NMR DX analysis; see manifest if present","json","39700D9CC9D73B7729032886CB95E787DD95AABA43E77348010DD845D34631EC","local ignored/untracked processed output"
"runs\nmr_analysis\scipy_missing_smoke\results.csv","results\processed\nmr_analysis\scipy_missing_smoke\results.csv","NMR DX analysis; see manifest if present","csv","A983196FDF260F7FCCCD2C1D1D53D6F15D1FC9FDC5E20823BA7F26905BAFFEFA","local ignored/untracked processed output"
"runs\nmr_plots\CEC-PhSi2-flow(sequence-1115)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\legacy_plots\CEC-PhSi2-flow(sequence-1115)-06-08-26_target_6p100ppm.png","NMR DX analysis plots; timestamp unknown","png","AF7DA97E39D22610FBFFA7B8AE9F7F3A8AA9D5F6D6A78FDF8BA65A863C0BB856","local ignored/untracked plot output"
"runs\nmr_plots\CEC-PhSi2-flow(sequence-1215)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\legacy_plots\CEC-PhSi2-flow(sequence-1215)-06-08-26_target_6p100ppm.png","NMR DX analysis plots; timestamp unknown","png","919BC6A85711C5C5D627B792FEC9790153C2353C2720699D942262ABB9061028","local ignored/untracked plot output"
"runs\nmr_plots\CEC-PhSi2-flow(sequence-1315)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\legacy_plots\CEC-PhSi2-flow(sequence-1315)-06-08-26_target_6p100ppm.png","NMR DX analysis plots; timestamp unknown","png","3171E01A385143976A76E255CC05364555434C9AB0E8CE4B556849F15F7F3325","local ignored/untracked plot output"
"runs\nmr_plots\CEC-PhSi2-flow(sequence-1415)-06-08-26_target_6p100ppm.png","results\processed\nmr_analysis\legacy_plots\CEC-PhSi2-flow(sequence-1415)-06-08-26_target_6p100ppm.png","NMR DX analysis plots; timestamp unknown","png","AC7AF07F72B827E21F7864D887AC26DC18662647F5B29C0C2EC58B13B39FD1E3","local ignored/untracked plot output"
